driverId,name,ssn,location,certified,wage-plan
10,Ashley Gilbert,015-60-5948,"903 Pamela Trail Apt. 603
Lake Laura, TN 76358",N,miles
11,Patrick Kidd,676-05-2891,"PSC 2419, Box 3788
APO AA 54510",Y,miles
12,Timothy Nelson,202-77-1758,"966 Webb Views
Kleinmouth, NV 73691",Y,hours
13,Kelly Adams,240-60-9503,"6276 Timothy Walk Apt. 272
Callahanbury, NV 34613",Y,hours
14,Catherine Thomas,192-91-9198,"202 Ronald Lane
Lake April, ME 27509",N,hours
15,Kimberly Simmons,136-72-7646,"Unit 1248 Box 9667
DPO AP 05200",N,hours
16,Kim Cunningham,552-88-1601,"Unit 3025 Box 1448
DPO AE 34315",Y,hours
17,Dr. David Smith,812-32-5964,"461 Ricardo Pine Suite 590
Port Cassandraborough, GU 46316",N,hours
18,Dylan Webb,117-85-0179,"25009 Aguilar Curve Apt. 668
Gouldburgh, NY 97766",N,miles
19,Brandi Rogers,128-37-9370,"752 Tracey Club
Cookville, DC 43864",Y,miles
20,Edward Allen,776-61-0372,"Unit 8205 Box 6606
DPO AE 81484",Y,miles
21,John Young,687-06-8167,"51660 Teresa Views
Lake Timothy, FM 72838",Y,miles
22,John Phelps,515-42-9703,"133 Howell Vista Apt. 413
South Reginaville, OH 58715",Y,hours
23,Tyler Smith,244-20-7802,"4116 Tracy Bypass Suite 695
Bateshaven, OR 40375",Y,miles
24,Anna Walsh,276-54-5402,"416 Michael Ford Suite 755
South Lisabury, GA 27118",Y,miles
25,Emily Nichols,080-89-5437,"Unit 1999 Box 4817
DPO AE 07209",N,hours
26,Tiffany Leach,137-30-2300,"Unit 3745 Box 6033
DPO AE 31529",Y,miles
27,Robert Carroll,158-98-6910,"4358 Laura Turnpike
Millerside, VA 19446",Y,hours
28,Mrs. Maria Hansen MD,058-15-0304,"33186 Curtis Key Suite 318
Victorburgh, WV 10418",N,hours
29,Patricia Horn,852-14-7909,"768 Shaw Grove
West Carlosburgh, IN 84309",Y,miles
30,Peter Jenkins,674-18-7071,"3640 Rodney Forge Apt. 438
Rodriguezville, NY 03045",Y,miles
